Bank,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Class
B.Uni´on,0.2367,0.1725,0.2435,0.0092,0.0022,0.08,0.0023,0.9576,0.003,0
B.Levante,0.4752,0.3867,0.496,0.0252,0.0018,0.044,0.0019,0.9525,0.0045,0
B.Ind.Cat.,0.2177,0.1722,0.2259,0.0189,0.0021,0.0566,0.0021,0.9249,0.0049,0
B.Germona,0.2838,0.2449,0.3075,0.0064,0.0008,0.0107,0.0009,0.9283,0.0106,0
B.Cr´ed.eInv.,0.3262,0.2222,0.3369,0.0112,0.0014,0.043,0.0014,0.9696,0.0023,0
B.Madrid,0.5791,0.4942,0.605,0.0162,0,0,0,0.9735,0.0026,0
B.Cant´abrico,0.4768,0.2762,0.5021,0.0084,0.0024,0.0479,0.0025,0.9363,0.0039,0
B.Valladolid,0.4311,0.3284,0.4505,0.0043,0.0053,0.1239,0.0056,0.8602,0.007,0
"B.dePrest,yAhorro",0.374,0.2205,0.3938,0.0012,-0.0537,-1.0671,-0.0565,1.3713,-0.0231,0
B.Com.Occ,0.2836,0.1447,0.3,0.0171,0.0026,0.048,0.0028,0.9428,0.0055,0
B.Ind.Med.,0.228,0.1454,0.234,0.0054,-0.0026,-0.1008,-0.0026,1.1019,-0.0012,0
B.Prom.Neg.,0.2184,0.1762,0.2287,0.0077,0,0,0,0.8808,0.0078,0
B.Asturias,0.4611,0.3837,0.4894,0.0077,0.0057,0.0996,0.0061,0.8799,0.0092,0
B.Sime´on,0.325,0.2232,0.3389,0.0269,0.0015,0.0367,0.0016,0.9282,0.005,0
B.GarrigaNogu´es,0.4179,0.324,0.4323,0.0058,0.004,0.1199,0.0041,0.8955,0.0081,0
B.deProgreso,0.2389,0.1534,0.2534,0.299,0.0171,0.2988,0.0182,0.6952,0.0204,1
B.Interc.Esp.,0.3598,0.3171,0.3792,0.0306,0.0083,0.163,0.0088,0.8651,0.0108,1
B.deComencio,0.3072,0.255,0.3187,0.0244,0.0018,0.05,0.0019,0.9194,0.0065,1
B.deVitoria,0.557,0.3862,0.6058,0.0264,0.0121,0.1505,0.0132,0.7711,0.0201,1
B.deCr´ed. Balear,0.3447,0.257,0.3573,0.0149,0.0068,0.1926,0.0071,0.851,0.0111,1
B.deFomento,0.3747,0.197,0.3956,0.0321,0.007,0.1324,0.0074,0.8604,0.01,1
B.deCastilla,0.3358,0.2211,0.3469,0.0283,0.0114,0.3566,0.0117,0.7188,0.021,1
B.deGalicia,0.393,0.2019,0.4062,0.0203,0.0085,0.2639,0.0088,0.8613,0.0113,1
B.Maech,0.4385,0.3073,0.4628,0.0498,0.0076,0.1451,0.008,0.8365,0.0119,1
B.Herrero,0.4608,0.3455,0.4806,0.0337,0.0129,0.3134,0.0135,0.7957,0.0172,1
B.P.yM.E.,0.2899,0.1459,0.332,0.0814,0.0096,0.0754,0.0109,0.7443,0.0104,1
B.Zaragozano,0.3347,0.2009,0.3423,0.0105,0.0032,0.1457,0.0033,0.89,0.0067,1
B.Mer.Tarragona,0.3965,0.3116,0.415,0.0044,0.0018,0.0402,0.0019,0.9291,0.0047,1
B.Fin.Inv.,0.3126,0.2419,0.3251,0.0321,0.0039,0.1008,0.004,0.8405,0.0108,1
B.deEuropa,0.4074,0.2764,0.4397,0.0156,0.0043,0.0582,0.0048,0.8846,0.0095,1
B.Pop.ESpa˜nol,0.4002,0.2691,0.4138,0.0233,0.0074,0.2247,0.0076,0.8292,0.0136,1
B.Esp.Cr´ed.,0.4298,0.3012,0.0443,0.0193,0.0063,0.2111,0.0065,0.8067,0.0144,1
B.Central,0.4497,0.2676,0.4606,0.012,0.0055,0.2359,0.0057,0.8029,0.0141,1
B.Vizcaya,0.3845,0.2146,0.395,0.0203,0.005,0.1894,0.0052,0.8396,0.0128,1
